filename,category,source,has_annotation,contributor
00512.jpeg,Invoice,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00642.jpeg,Invoice,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00355.jpg,Invoice,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
0089.jpg,Invoice,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00104.jpg,Invoice,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
008.jpg,Invoice,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
0086.jpg,Invoice,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00246.jpg,Invoice,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00742.png,Invoice,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00489.jpeg,Invoice,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00412.jpg,Invoice,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00242.jpg,Invoice,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00298.jpg,Invoice,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00802.jpg,Invoice,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00409.jpg,Invoice,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00193.jpg,Invoice,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00184.jpg,Invoice,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
0045.jpg,Invoice,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00189.jpg,Official document,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
0043.jpg,Official document,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00416.jpeg,Official document,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00656.jpg,Official document,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00342.jpeg,Official document,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
0085.jpg,Official document,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00139.jpg,Official document,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00772.png,Official document,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00522.jpg,Official document,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00594.jpg,Official document,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00213.jpeg,Official document,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00448.jpg,Official document,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00171.jpg,Official document,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00608.jpg,Official document,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
0037.jpg,Official document,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00679.jpg,Official document,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
0067.jpg,Official document,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00432.jpeg,Official document,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00631.jpg,Official document,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00276.jpg,Official document,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
